epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.157,0.32826,2.21638,0.87785,0.8731,0.92005,0.95333,0.93996,0.23248,2.42304,0.79987,0.000369281,0.000369281,0.000369281
2,625.791,0.32287,1.15942,0.84733,0.99624,0.99668,0.995,0.99053,0.2086,0.84939,0.78404,0.00072497,0.00072497,0.00072497
3,974.727,0.32273,0.91909,0.84234,0.99229,1,0.995,0.99431,0.19351,0.69822,0.78194,0.00106599,0.00106599,0.00106599
4,1297.55,0.28976,0.7206,0.83332,0.9979,0.9995,0.995,0.99451,0.18332,0.51308,0.77859,0.00104501,0.00104501,0.00104501
5,1605.06,0.26396,0.59443,0.82848,0.9976,1,0.995,0.995,0.15242,0.41272,0.77159,0.00102301,0.00102301,0.00102301
6,1915.49,0.26114,0.51486,0.82604,0.9944,1,0.995,0.995,0.15128,0.3745,0.77163,0.00100101,0.00100101,0.00100101
7,2234.36,0.25548,0.46167,0.82633,0.99809,1,0.995,0.995,0.13378,0.29396,0.77035,0.000979013,0.000979013,0.000979013
8,2637.35,0.23599,0.41518,0.8237,0.99803,1,0.995,0.995,0.13267,0.24557,0.77019,0.000957015,0.000957015,0.000957015
9,3026.83,0.22429,0.37245,0.82179,0.99703,1,0.995,0.995,0.14846,0.23145,0.77089,0.000935018,0.000935018,0.000935018
10,3449.78,0.2113,0.35749,0.81564,0.99826,1,0.995,0.995,0.1014,0.21683,0.76645,0.00091302,0.00091302,0.00091302
11,3869.63,0.20023,0.32559,0.81012,0.99395,0.99555,0.995,0.995,0.1317,0.2114,0.77013,0.000891022,0.000891022,0.000891022
12,4299.33,0.20572,0.34037,0.81559,0.99705,1,0.995,0.995,0.12404,0.19433,0.76751,0.000869024,0.000869024,0.000869024
13,4698.2,0.19328,0.31432,0.81295,0.99878,1,0.995,0.995,0.11158,0.16386,0.76501,0.000847026,0.000847026,0.000847026
14,5124.38,0.18719,0.30175,0.80803,0.99895,1,0.995,0.995,0.10899,0.15322,0.76515,0.000825029,0.000825029,0.000825029
15,5502.47,0.1816,0.28051,0.80832,0.99901,1,0.995,0.995,0.09337,0.14115,0.76468,0.000803031,0.000803031,0.000803031
